id,name,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,forkedFrom,oracles,listedAt,methodology,slug,tvl,chainTvls,change_1h,change_1d,change_7d,tokenBreakdowns,mcap,referralUrl,treasury,audit_links,openSource,governanceID,github,hallmarks,parentProtocol,wrongLiquidity,staking,assetToken,oraclesByChain,pool2,stablecoins,misrepresentedTokens,language,tokensExcludedFromParent,deadUrl,deadFrom,rugged
2308,Jito,solana:jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,https://jito.network,MEV-Boosted Staking Rewards,Solana,https://icons.llama.fi/jito.png,2,,jito-governance-token,,Liquid Staking,['Solana'],jito/index.js,jito_sol,['SPL Stake Pool'],[],1669265429.0,Uses the SPL Stake Pool SDK to fetch the total supply of deposited SOL into the Jito Stake Pool,jito,2990029423.034485,{'Solana': 2990029423.034485},1.3222528368754212,-1.3231175934852928,11.512865303266139,{},355165894.7478227,,,"['https://spl.solana.com/stake-pool#security-audits', 'https://2926710696-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2Ffrb9MGTK6eZJlEQJyylq%2Fuploads%2F1jfEDpGcd5YlnHusbKYO%2FNeodymeJito.pdf']",,,['jito-foundation'],,,,,,,,,,,,,,
214,Raydium,solana:4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,https://raydium.io,An on-chain order book AMM powering the evolution of DeFi.,Solana,https://icons.llama.fi/raydium.jpg,0,,raydium,8526,Dexes,['Solana'],raydium/api.js,RaydiumProtocol,,,,,raydium,1940466339.791688,"{'Solana-staking': 196087961.92362836, 'Solana': 1940466339.791688, 'staking': 196087961.92362836}",-0.9738088012282873,0.6080375153351838,29.288675659395977,{},1221960963.3201797,,,,False,,,,,,196087961.92362836,,,,,,,,,,
3770,Kamino Lend,solana:KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,https://kamino.finance/,Kamino Lend (K-Lend) is a novel peer-to-pool borrowing primitive designed as foundational infrastructure to power complex financial products with leverage and automation and as a decentralized matchmaker between borrowers and lenders,Solana,https://icons.llama.fi/kamino.jpg,2,,,,Lending,['Solana'],kamino-lending/index.js,KaminoFinance,[],"['Scope', 'Pyth', 'Switchboard']",1699615528.0,"TVL consists of deposits made to the protocol, borrowed tokens and kTokens are not counted.",kamino-lend,1880469203.1414938,{'Solana': 1880469203.1414938},-0.2530134255664649,-2.189633748253101,11.707526344763664,{},,,,['https://github.com/hubbleprotocol/kamino-audits'],,,,,parent#kamino-finance,,,,,,,,,,,,
4371,Sanctum Validator LSTs,,-,https://www.sanctum.so,A Sanctum validator LST is a type of LST for which stake pools were deployed with the SanctumSPL Program.,Solana,https://icons.llama.fi/sanctum-validator-lsts.jpg,0,,,,Liquid Staking,['Solana'],sanctum-validator-lsts/index.js,sanctumso,[],[],1711406065.0,Uses GPA to fetch the total supply of deposited SOL into the various Sanctum LSTs,sanctum-validator-lsts,1266610974.66301,{'Solana': 1266610974.66301},1.3136785745323039,-0.999622188409802,11.435011513740108,{},,,,,,,,,parent#sanctum,,,,,,,,,,,,
484,Marinade Liquid Staking,solana:MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,MNDE,https://marinade.finance,The easiest way to stake Solana - liquid staking,Solana,https://icons.llama.fi/marinade-finance.jpg,2,,,,Liquid Staking,['Solana'],marinade.js,MarinadeFinance,,,,"We sum the amount of SOL staked, SOL in reserve address: Du3Ysj1wKbxPKkuPPnvzQLQh8oMSVifs3jGZjJWXFmHN, SOL in the Liquidity pool: UefNb6z6yvArqe4cJHTXCqStRsKmWhGxnZzuHbikP5Q, and the emergency cooling down balance.",marinade-liquid-staking,1144114847.9560592,{'Solana': 1144114847.9560592},-1.9196802685791141,-1.485654666705173,5.758076370707371,{},,,,"['https://marinade.finance/Neodyme.pdf', 'https://marinade.finance/AckeeBlockchain.pdf', 'https://marinade.finance/KudelskiSecurity.pdf']",,,,"[[1667865600, 'FTX collapse']]",parent#marinade-finance,,,,,,,,,,,,
4077,Jupiter Perpetual Exchange,solana:JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,https://jup.ag/perps,Jupiter Perpetual Exchange is a LP-to-trader perpetual exchange based on oracle prices.,Solana,https://icons.llama.fi/jupiter-perpetual-exchange.jpg,0,,,,Derivatives,['Solana'],jupiter-perpetual.js,JupiterExchange,[],['Edge'],1706560048.0,Calculate sum across all program token accounts,jupiter-perpetual-exchange,1097793635.572085,{'Solana': 1097793635.572085},-1.1505522449170087,-3.1237293199036458,10.45756936885995,{},,,,,,,,"[[1706490000, 'launch jup exchange']]",parent#jupiter,,,,,,,,,,,,
4996,Jupiter Staked SOL,solana:JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,https://jup.ag/swap/SOL-JupSOL,Liquid staking on Solana,Solana,https://icons.llama.fi/jupiter-staked-sol.jpg,0,,,,Liquid Staking,['Solana'],jupSOL/index.js,JupiterExchange,[],[],1723799951.0,,jupiter-staked-sol,838158435.4656073,{'Solana': 838158435.4656073},-1.9198532685102663,-2.6488546548339684,11.685862168579277,{},,,,[],,,,,parent#jupiter,,,JUPSOL,,,,,,,,,
970,Drift Trade,solana:DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,DRIFT,https://www.drift.trade,"Drift brings on-chain, cross-margined perpetual futures to Solana. Making futures DEXs the best way to trade.",Solana,https://icons.llama.fi/drift-trade.jpg,2,,,,Derivatives,['Solana'],drift.js,DriftProtocol,,['Pyth'],1638568951.0,Calculate sum across all program token accounts,drift-trade,591534733.9764484,{'Solana': 591534733.9764484},-0.7801726472522716,-1.7616459121490209,17.31378535366126,{},,,,['https://github.com/Zellic/publications/blob/master/Drift%20Protocol%20Audit%20Report.pdf'],,,,,parent#drift,,,,,,,,,,,,
3672,Marinade Native,solana:MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,MNDE,https://marinade.finance/app/,"Marinade Native is a fee-free, smart contract-independent staking alternative on Solana that allows users to maintain custody of their SOL",Solana,https://icons.llama.fi/marinade-finance.jpg,0,,,,Staking Pool,['Solana'],marinade-native/index.js,MarinadeFinance,[],[],1697846552.0,,marinade-native,565704166.6548318,{'Solana': 565704166.6548318},-1.7436698714881658,-2.0923288996302745,6.3601780740415705,{},,,,,,,,,parent#marinade-finance,,,,,,,,,,,,
5135,Binance Staked SOL,,-,https://www.binance.com/en/solana-staking,Stake SOL and get BNSOL as the tokenized representation on your staked SOL,Solana,https://icons.llama.fi/binance-staked-sol.png,2,,,,Liquid Staking,['Solana'],bnsol/index.js,binance,[],[],1726110072.0,,binance-staked-sol,552333065.1614418,{'Solana': 552333065.1614418},-1.1138029472665352,-2.486794067234783,15.933465221851833,{},,,,"['https://github.com/solana-labs/security-audits/blob/master/spl/NeodymeStakePoolAudit-2023-11-14.pdf', 'https://github.com/solana-labs/security-audits/blob/master/spl/HalbornStakePoolAudit-2023-12-31.pdf']",,,,,,,,BNSOL,,,,,,,,,
