id,name,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,forkedFrom,oracles,listedAt,methodology,slug,tvl,chainTvls,change_1h,change_1d,change_7d,tokenBreakdowns,mcap,referralUrl,treasury,audit_links,openSource,governanceID,github,hallmarks,parentProtocol,wrongLiquidity,staking,assetToken,oraclesByChain,pool2,stablecoins,misrepresentedTokens,language,tokensExcludedFromParent,deadUrl,deadFrom,rugged
3667,Amnis Finance,,-,https://amnis.finance,"Amnis Finance - a Pioneering Liquidity Staking on Aptos. As a foundational component of the Aptos ecosystem, Amnis Finance introduces a secure, user-friendly and innovative liquid staking protocol that empowers users to effortlessly maximize returns on their APT tokens while unlocking their liquidity.",Aptos,https://icons.llama.fi/amnis-finance.jpg,2,,,,Liquid Staking,['Aptos'],amnis-finance/index.js,AmnisFinance,[],[],1697814573.0,,amnis-finance,290843947.3758419,{'Aptos': 290843947.3758419},1.080725935090939,-2.9507382884115856,15.535418299113516,{},,,,['https://2003663820-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FS1BuIoYSwiJZqNrZeQzd%2Fuploads%2FnvGzDkVyQvLbQs5vmIFW%2FAmnis%20Finance%20Audit%20Report.pdf?alt=media&token=a5a0d5e2-597f-4e24-a920-7535ed9cd667'],,,,,,,,AMAPT,,,,,,,,,
2228,Aries Markets,,-,https://ariesmarkets.xyz,"Aries Markets is a decentralised margin trading protocol on Aptos which allows users to borrow, lend, swap, and trade with margin via an on-chain order book with lightning speed.",Aptos,https://icons.llama.fi/aries-markets.jpg,2,,,,Lending,['Aptos'],aries-markets/index.js,AriesMarkets,[],"['Switchboard', 'Pyth']",1666868387.0,Counts the lamports in each coin container in the Aries contract account.,aries-markets,269351346.67163384,"{'Aptos': 269351346.67163384, 'Aptos-borrowed': 429680134.0962811, 'borrowed': 429680134.0962811}",0.867231533611573,-2.659269154317002,5.392863444308674,{},,,,['https://drive.google.com/file/d/1yyGcE3bT0D-5G_hwINMwF-4PgSzOKmz4/view'],,,,,,,,,,,,,,,,,
5051,Echo Lending,,-,https://www.echo-protocol.xyz,"Bridge, Restake and Earn Yield from BTC assets on Move",Aptos,https://icons.llama.fi/echo-lending.jpg,0,,,,Lending,['Aptos'],echo-lending/index.js,EchoProtocol_,[],[],1724748233.0,,echo-lending,185224648.35027766,"{'Aptos': 185224648.35027766, 'Aptos-borrowed': 43839331.45858084, 'borrowed': 43839331.45858084}",-0.7144719593429443,-2.9550299181452004,13.87828685966754,{},,,,,,,,,parent#echo-protocol,,,,,,,,,,,,
3804,Thala LSD,aptos:0x7fd500c11216f0fe3095d0c4b8aa4d64a4e2e04f83758462f2b127255643615,THL,https://app.thala.fi/lsd,"Thala's APT liquid staking primitive, designed to enable APT holders to achieve higher yields while leveraging DeFi and fueling the next wave of the DeFi boom on Aptos.",Aptos,https://icons.llama.fi/thala-lsd.png,2,,,,Liquid Staking,['Aptos'],thala-lsd/index.js,ThalaLabs,[],[],1700222569.0,Aggregates thAPT backing Thala LSD's APT delegation.,thala-lsd,116228163.20602298,{'Aptos': 116228163.20602298},6.200382887975081,1.6027807911916057,19.72645685619713,{},,,,['https://docs.thala.fi/thala-protocol-design/operations/audits'],,,,,parent#thala-labs,,,,,,,,,,,,
4367,Echelon Market,,-,https://app.echelon.market/,"Composable, Efficient & Secure Move Money Market.",Aptos,https://icons.llama.fi/echelon-market.png,2,,,,Lending,['Aptos'],echelon/index.js,EchelonMarket,[],['Pyth'],1711395200.0,Aggregate TVL of both the Echelon main pool and its isolated pairs,echelon-market,85930466.23121941,"{'Aptos-borrowed': 97645876.50101948, 'Aptos': 85930466.23121941, 'borrowed': 97645876.50101948}",2.6178163133333356,0.5341657368386592,13.129729208142464,{},,,,['https://docs.echelon.market/echelon-v1/audit-reports'],,,,,,,,,,,,,,,,,
2795,ThalaSwap,aptos:0x7fd500c11216f0fe3095d0c4b8aa4d64a4e2e04f83758462f2b127255643615,THL,https://www.thala.fi/,"Thala is a decentralized finance protocol powered by the Move language, enabling seamless borrowing of a decentralized, over-collateralized stablecoin in Move Dollar and capital-efficient liquidity provisioning via a rebalancing AMM on the Aptos blockchain",Aptos,https://icons.llama.fi/thalaswap.png,2,,thala,24268,Dexes,['Aptos'],thalaswap/index.js,ThalaLabs,[],[],1680980221.0,"Aggregates TVL in all pools in Thalaswap, Thala Labs' AMM.",thalaswap,81184203.73744574,{'Aptos': 81184203.73744574},0.5423471868071204,-2.7191166603190737,7.434301775044915,{},35361053.0114471,,,['https://docs.thala.fi/thala-protocol-design/operations/audits'],,,,,parent#thala-labs,,,,,,,,,"{'Aptos': ['STHAPT', 'THAPT', 'veTHL']}",,,
4194,Cellana Finance,aptos:0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12,CELL,https://cellana.finance,"Cellana is a community-owned decentralized exchange on the Aptos network that fosters DeFi growth through a sustainable liquidity incentives model. This innovative DEX is the first ever which use the Ve(3,3) Model in Move Language.",Aptos,https://icons.llama.fi/cellana-finance.jpg,2,,cellena-finance,,Dexes,['Aptos'],cellana/index.js,CellanaFinance,[],[],1709208550.0,Counts the lamports in each coin container in the Cellena contract account.,cellana-finance,79919287.92516062,{'Aptos': 79919287.92516062},-0.047293686742008845,-5.66173635569838,7.094364722070338,{},12249076.265324848,,,['https://movebit.xyz/reports/Cellana-Smart-Contract-Final-Audit-Report.pdf'],,,,,,,,,,,,,,,,,
2789,Thala CDP,aptos:0x7fd500c11216f0fe3095d0c4b8aa4d64a4e2e04f83758462f2b127255643615,THL,https://www.thala.fi/,"Thala is a decentralized finance protocol powered by the Move language, enabling seamless borrowing of a decentralized, over-collateralized stablecoin in Move Dollar and capital-efficient liquidity provisioning via a rebalancing AMM on the Aptos blockchain",Aptos,https://icons.llama.fi/thala-cdp.png,2,,,,CDP,['Aptos'],move-dollar/index.js,ThalaLabs,[],['Pyth'],1680889424.0,Aggregates all collateral backing Move Dollar in Thala's CDP Vaults.,thala-cdp,77165926.1750022,{'Aptos': 77165926.1750022},0.7976870849579569,-2.6948990975055693,10.45572563190808,{},,,,['https://docs.thala.fi/thala-protocol-design/operations/audits'],,,,,parent#thala-labs,,,,,,,,,"{'Aptos': ['STHAPT', 'THAPT', 'veTHL']}",,,
4938,Meso Finance,,-,https://app.meso.finance/dashboard,"The capital-efficient Money Market, empowering credit expansion on Aptos",Aptos,https://icons.llama.fi/meso-finance.png,2,,,,Lending,['Aptos'],meso-finance/index.js,Meso_Finance,[],['Pyth'],1722616523.0,"Counts the tokens locked in the contracts to be used as collateral to borrow or to earn yield. Borrowed coins are not counted towards the TVL, so only the coins actually locked in the contracts are counted. There's multiple reasons behind this but one of the main ones is to avoid inflating the TVL through cycled lending.",meso-finance,46964644.639767,"{'Aptos-borrowed': 84011356.69719166, 'Aptos': 46964644.639767, 'borrowed': 84011356.69719166}",0.2128566307438149,-2.739136582556881,5.004292660240566,{},,,,['https://doc.meso.finance/security-audit'],,,,,,,,,,,,,,,,,
2210,LiquidSwap,,-,https://liquidswap.com/,"Liquidswap is the first AMM on Aptos, the safest and most scalable L1 blockchain. The DEX runs on Aptos mainnet.",Aptos,https://icons.llama.fi/liquidswap.jpg,2,,,,Dexes,['Aptos'],liquidswap-aptos/index.js,PontemNetwork,[],[],1666362910.0,,liquidswap,41267360.58072344,{'Aptos': 41267360.58072344},1.2843308762199968,-0.2242394968677246,1.3110533942898144,{},,,,"['https://docs.liquidswap.com/#halborn', 'https://docs.liquidswap.com/#ottersec', 'https://docs.liquidswap.com/#zellic']",,,,,,,,,,,,,,,,,
3705,Aptin Finance V2,,-,https://aptin.io,"Aptin is an algorithmic, decentralized protocol for lending and borrowing on Aptos. Aptin enables users to effortlessly lend, borrow, and earn interest within a global network.",Aptos,https://icons.llama.fi/aptin-finance-v2.jpg,2,,,,Lending,['Aptos'],aptin-finance-v2/index.js,AptinLabs,[],['Pyth'],1698397365.0,"TVL contains the sum of the supply of all markets in the Aptin protocol contract, borrowed tokens are not counted.",aptin-finance-v2,23259861.779519875,"{'Aptos-borrowed': 19326020.39556801, 'Aptos': 23259861.779519875, 'borrowed': 19326020.39556801}",0.842209841365559,1.9116434577898929,12.164748393188646,{},,,,['https://github.com/AptinLabs/audit-report/blob/main/aptin_audit_report.pdf'],,,,,parent#aptin-finance,,,,,,,,,,,,
4651,Superposition,,-,https://www.superposition.finance,Superposition is a decentralized protocol for lending and borrowing powered by Concordia’s adaptive risk model,Aptos,https://icons.llama.fi/superposition.jpg,0,,,,Lending,['Aptos'],superposition/index.js,superp_fi,[],['Pyth'],1716371512.0,Aggregates TVL from all brokers in the Superposition protocol.,superposition,22500928.27856169,"{'Aptos-borrowed': 28876139.4101373, 'Aptos': 22500928.27856169, 'borrowed': 28876139.4101373}",0.5179968491957965,1.5212251126882137,11.840490510268253,{},,,,,,,,,,,,,,,,,,,,,
3827,Sushi Aptos,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,https://sushi.com/,SushiSwap on the Aptos chain.,Aptos,https://icons.llama.fi/sushi-aptos.jpg,0,,,,Dexes,['Aptos'],sushi-aptos/index.js,SushiSwap,[],[],1700657259.0,,sushi-aptos,9336911.259460682,{'Aptos': 9336911.259460682},0.735113642371104,-30.07688737566822,-23.59052995596241,{},,,,,,,,,parent#sushi,,,,,,,True,,,,,
3678,Merkle Trade,,-,https://merkle.trade,"Merkle Trade is a Perp DEX that offers high leverage on a variety of pairs such as Crypto, Forex, and Commodity.",Aptos,https://icons.llama.fi/merkle-trade.jpg,2,,,,Derivatives,['Aptos'],merkle-trade/index.js,merkle_trade,[],['Pyth'],1698054975.0,,merkle-trade,6423137.91529914,{'Aptos': 6423137.91529914},1.9638570493535497,1.6150329779434998,3.431366755842859,{},,,,['https://3654426464-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2Fmwt0Dje2oDasvK6hXXbX%2Fuploads%2FcbGpeJcK2hlOS4VDthCj%2FMerkle%20Trade%20Smart%20Contract%20%20Audit%20Report_final.pdf?alt=media&token=5506ee65-ef25-4a2c-82b5-0580f0bf8e02'],,,,,,,,,,,,,,,,,
5128,Joule Finance,,-,https://www.joule.finance,"Joule Finance serves as a liquidity hub on the Aptos platform, providing a range of innovative DeFi features such as the LRT bridge, money market, and liquidity anchors.",Aptos,https://icons.llama.fi/joule-finance.jpg,0,,,,Lending,['Aptos'],joule/index.js,JouleFinance,[],['Pyth'],1725956794.0,Aggregates TVL for all markets in Joule.,joule-finance,6254824.008286628,"{'Aptos-borrowed': 13634884.755228363, 'Aptos': 6254824.008286628, 'borrowed': 13634884.755228363}",-0.3293280225746855,-2.8172139169563906,6.301037134173896,{},,,,,,,,,,,,,,,,,,,,,
4128,Econia,,-,https://www.econialabs.com,Building Econia: a hyper-parallelized on-chain order book,Aptos,https://icons.llama.fi/econia.jpg,0,,,,Dexes,['Aptos'],econia.js,EconiaLabs,[],[],1708387853.0,,econia,3910304.4820104023,{'Aptos': 3910304.4820104023},1.4020286283637375,-2.1672892518317752,9.586231090427333,{},,,,,,,,,,,,,,,,,,,,,
2208,Tortuga,,-,https://app.tortuga.finance/,Tortuga issues tAPT (Tortuga Staked APT) which allows you to stay staked while participating in the Aptos DeFi ecosystem,Aptos,https://icons.llama.fi/tortuga.png,2,,,,Liquid Staking,['Aptos'],tortuga/index.js,TortugaFinance,[],[],1666310467.0,,tortuga,3031199.6552268127,{'Aptos': 3031199.6552268127},0.9636775415855681,-4.122741717808736,12.59597682269083,{},,,,['https://docs.tortuga.finance/product-docs/protocol/security-audits'],,,,,,,,,,,,,Move,,,,
2207,Ditto,,-,https://stake.dittofinance.io/,Stake APT tokens via Ditto to receive stAPT,Aptos,https://icons.llama.fi/ditto.png,2,,,,Liquid Staking,['Aptos'],ditto/index.js,Ditto_Finance,[],[],1666310374.0,,ditto,719824.879667802,{'Aptos': 719824.879667802},1.0713163584535152,-4.112144526453164,12.598359589009632,{},,,,['https://github.com/ditto-research/audit/blob/main/ottersec-14-10-22/Ditto-Ottersec-Audit.pdf'],,,['ditto-research'],,,,,,,,,,Move,,,,
2335,ABEL Finance,aptos:-,ABEL,https://abelfinance.xyz/#/markets,A Cross-Chain Lending Platform Built on Aptos and Sui,Aptos,https://icons.llama.fi/abel-finance.png,2,,,,Lending,['Aptos'],abelfinance/index.js,abelfinance,['Compound V2'],['Pyth'],1670348069.0,Counts the lamports in each coin container in the Aries contract account.,abel-finance,383412.3309979568,"{'Aptos': 383412.3309979568, 'Aptos-borrowed': 145374.73131560622, 'borrowed': 145374.73131560622}",1.308350344337157,-0.5204358836582799,2.301088951338187,{},,,,"['https://github.com/Vital-block/Project-KYC-Verification/blob/main/ABEL%20FINANCE%20KYC%20CERTIFICATE.pdf', 'https://github.com/Vital-block/Smart-Contract-Audit/blob/main/ABEL%20FINANCE%20Audit-Report.pdf', 'https://github.com/Vital-block/Smart-Contract-Audit/blob/main/ABEL%20FINANCE%20Audit-Report.pdf']",,,['abelfinance'],,,,,,,,,,,,,,
2206,Argo,,-,https://argo.fi/,Argo is a lending protocol on Aptos that lets users collateral for minting and borrowing a dollar-pegged stablecoin USDA,Aptos,https://icons.llama.fi/argo.png,2,,,,CDP,['Aptos'],argo/index.js,ArgoUSD,[],['Pyth'],1666310264.0,,argo,162810.2660219552,{'Aptos': 162810.2660219552},-1.578814619301241,-2.4745919415435083,15.393409055430922,{},,,,['https://docs.argo.fi/assets/files/argo_audit-43ec7be6d291130e1ae7793bec34fc3d.pdf'],,,,,,,,,,,,,Move,,,,
2224,Aptoswap,,-,https://aptoswap.net,Swap platform on Aptos,Aptos,https://icons.llama.fi/aptoswap.jpg,0,,,,Dexes,['Aptos'],aptoswap/index.js,aptoswap_net,[],[],1666698920.0,,aptoswap,72473.66434913561,{'Aptos': 72473.66434913561},-0.46668587438890086,-0.8468727013907227,8.494311261190617,{},,,,,,,,,,,,,,,,True,,,,,
2213,AUX Exchange,,-,https://aux.exchange/,AUX is the universal exchange. Our mission is to provide the best decentralized trading experience possible. Live on Aptos.,Aptos,https://icons.llama.fi/aux-exchange.png,0,,,,Dexes,['Aptos'],aux-exchange/index.js,AuxExchange,[],[],1666452035.0,,aux-exchange,60815.229623973704,{'Aptos': 60815.229623973704},-2.0563048627857228,-2.6974906001572805,13.001357374835592,{},,,,,,,['aux-exchange'],,,,,,,,,True,,,,,
4018,BaptSwap V2.1,,-,https://baptswap.com,Swap. Stake. Secure. The first DEX to support fee-on-transfer tokens on Aptos.,Aptos,https://icons.llama.fi/baptswap.jpg,2,,,,Dexes,['Aptos'],baptswap-v2-1/index.js,baptswap,[],[],1705091436.0,,baptswap-v2.1,52320.9576455708,{'Aptos': 52320.9576455708},-1.539007705289137,-2.9756303304997402,12.43189865723295,{},,,,['https://docs.baptswap.com/technical-references/security'],,,,,parent#baptswap,,,,,,,True,,,,,
2368,Aptin Finance V1,,-,https://aptin.io,"Aptin is an algorithmic, decentralized protocol for lending and borrowing on Aptos. Aptin enables users to effortlessly lend, borrow, and earn interest within a global network.",Aptos,https://icons.llama.fi/aptin-finance-v1.jpg,2,,,,Lending,['Aptos'],aptin-finance/index.js,AptinLabs,[],"['Switchboard', 'Pyth']",1671445831.0,"TVL contains the sum of the supply of all markets in the Aptin protocol contract, borrowed tokens are not counted.",aptin-finance-v1,51442.776659782896,"{'Aptos': 51442.776659782896, 'Aptos-borrowed': 23143.077474976097, 'borrowed': 23143.077474976097}",0.4746835505732747,0.8025251808069953,0.9118520691566943,{},,,,['https://github.com/AptinLabs/audit-report/blob/main/aptin_audit_report.pdf'],,,,,parent#aptin-finance,,,,,,,,,,,,
4059,AptosLaunch,aptos:0xd0b4efb4be7c3508d9a26a9b5405cf9f860d0b9e5fe2f498b90e68b8d2cedd3e,ALT,https://aptoslaunch.io,Empower Your Crypto Project with Community-Powered Liquidity. Aptos Web 3.0 Launchpad on the Safest and Scalable Layer 1 Blockchain.,Aptos,https://icons.llama.fi/aptoslaunch.jpg,0,,aptos-launch-token,22065,Launchpad,['Aptos'],aptoslaunch/index.js,AptoslaunchIO,[],[],1706108865.0,Counts the lamports for each coins in every pools of AptosLaunch.,aptoslaunch,32314.43339548334,"{'Aptos': 32314.43339548334, 'Aptos-pool2': 0, 'Aptos-staking': 26304.36616130287, 'pool2': 0, 'staking': 26304.36616130287}",-3.468562935854621,-4.5434197973997925,13.492397563764229,{},0.0,,,,,,,,,,26304.36616130287,,,0.0,,,,,,,
5197,MovePump,sui:0xd9f9b0b4f35276eecd1eea6985bfabe2a2bbd5575f9adb9162ccbdb4ddebde7f,SMOVE,https://movepump.com/create-token,Launch your token on Move Pump,Aptos,https://icons.llama.fi/movepump.png,0,,,,Launchpad,['Aptos'],movepump/index.js,BlueMove_OA,[],[],1727951393.0,,movepump,17985.5345835,{'Aptos': 17985.5345835},1.1690647482014356,-3.8133940124746744,7.237648780170787,{},,,,,,,,,parent#bluemove,,,,,,,,,,,,
